token_1,ws,token_2,count
IDENTIFIER,1_NL_4_SP,},289
{,1_NL_29_SP,this,15
",",1_NL_63_SP,IDENTIFIER,33
{,1_NL_59_SP,IDENTIFIER,6
(,1_NL_4_SP,IDENTIFIER,8027
;,2_NL_4_SP,IDENTIFIER,739
;,1_NL_8_SP,},2992
{,2_NL_4_SP,AT,15
),1_NL_17_SP,.,10
),1_NL_36_SP,.,1
;,2_NL_17_SP,return,1
->,1_SP,!,220
),1_NL_23_SP,.,17
),1_NL_13_SP,?,1
),1_NL,:,273
),1_NL_13_SP,.,1
;,2_NL_23_SP,return,3
),1_NL_1_SP,.,1
{,2_NL_4_SP,void,50
!,0_None,(,1106
{,1_NL_26_SP,if,19
;,1_NL_27_SP,IDENTIFIER,20
",",1_NL_51_SP,STRING_LITERAL,1
;,2_NL_51_SP,IDENTIFIER,3
;,2_NL_31_SP,(,5
},2_NL,int,617
",",1_NL,INTEGER_LITERAL,898
;,2_NL_8_SP,if,338
",",1_NL_26_SP,IDENTIFIER,143
{,1_NL_22_SP,IDENTIFIER,36
++,0_None,;,2890
{,1_NL_27_SP,IDENTIFIER,151
{,1_NL_22_SP,if,10
{,1_NL_4_SP,IDENTIFIER,1818
{,1_NL_23_SP,if,9
{,1_NL_26_SP,IDENTIFIER,236
{,1_NL_19_SP,IDENTIFIER,3
),1_NL_45_SP,.,8
;,1_NL_45_SP,if,1
},1_NL,throw,1303
:,1_SP,NULL_LITERAL,828
IDENTIFIER,1_NL_33_SP,.,1
;,2_NL_37_SP,},1
IDENTIFIER,1_NL_29_SP,.,1
;,2_NL_33_SP,},1
>,1_SP,extends,542
+,1_NL_8_SP,super,2
int,0_None,.,87
class,0_None,",",5032
",",1_NL_58_SP,byte,1
byte,0_None,.,34
",",1_NL,short,2
short,0_None,.,33
",",1_NL,boolean,287
boolean,0_None,.,62
",",1_NL,long,147
long,0_None,.,54
",",1_NL,double,44
double,0_None,.,53
",",1_NL,float,8
float,0_None,.,36
",",1_NL,char,2
char,0_None,.,35
;,2_NL_58_SP,private,1
>,0_None,[,310
{,0_None,IDENTIFIER,1048
class,0_None,},208
;,1_NL_44_SP,static,1
static,1_SP,{,334
",",1_NL_50_SP,IDENTIFIER,26
{,1_NL_46_SP,return,3
),1_NL_13_SP,.,22
;,1_NL_17_SP,},43
",",1_NL_39_SP,IDENTIFIER,68
{,1_NL_35_SP,this,7
;,1_NL_26_SP,},22
IDENTIFIER,0_None,::,3892
::,0_None,new,639
new,0_None,),383
;,2_NL_19_SP,},3
;,2_NL,<,124
?,1_SP,extends,3213
class,0_None,;,903
),1_NL_51_SP,IDENTIFIER,1
{,1_NL_47_SP,return,1
